turn,n,input_tokens_p25,input_tokens_p50,input_tokens_p75,cum_input_tokens_p25,cum_input_tokens_p50,cum_input_tokens_p75,history_share_cum_p25,history_share_cum_p50,history_share_cum_p75,history_share_turn_p25,history_share_turn_p50,history_share_turn_p75,repeat_share_cum_p25,repeat_share_cum_p50,repeat_share_cum_p75,relative_cost_vs_turn1_p25,relative_cost_vs_turn1_p50,relative_cost_vs_turn1_p75
1,3000,19.0,32.0,69.0,19.0,32.0,69.0,0.043478260869565216,0.09375,0.15789473684210525,0.0,0.0,0.0,0.043478260869565216,0.09375,0.15789473684210525,1.0,1.0,1.0
2,3000,141.0,269.0,487.0,173.0,313.5,567.0,0.5671369827248597,0.7471895920171783,0.8724899061472231,0.7292370042872454,0.8827041785375118,0.9441953117761512,0.0810034111279347,0.15873935514723464,0.26842105263157895,3.0,5.97772207315351,12.75
3,3000,295.75,516.5,863.25,479.0,829.0,1421.0,0.7332108913833095,0.8599850259469421,0.9323606651498075,0.863994782047374,0.9419439952336368,0.9714398913289564,0.3453056549174069,0.3939393939393939,0.45816175907280127,5.382125530624622,12.625932835820896,26.59835423197492
4,3000,460.0,766.5,1227.25,957.0,1602.5,2658.75,0.8093175610943283,0.907690703670003,0.9542221849730534,0.9134595238955315,0.9626931947721429,0.9809160305343512,0.4940700607274996,0.5307676067776088,0.5733333333333334,7.961015967035797,19.919871794871796,40.59395424836601
5,3000,624.75,1026.5,1587.25,1597.0,2640.0,4240.25,0.8529769874565326,0.9304228707564026,0.9651904050189193,0.9333333333333333,0.9723756906077348,0.9855419289521371,0.5879127649126293,0.6178281229069704,0.651637788070957,10.651797175866495,26.518292682926827,55.30297157622739
6,3000,807.0,1301.0,1951.5,2448.75,3936.5,6174.25,0.8825493897364565,0.9444444444444444,0.971966909791834,0.9480920615575191,0.9781389323825513,0.9884482089016831,0.6523806193180843,0.6780575685312498,0.7041434575158575,13.383928571428571,34.401785714285715,70.921875
7,3000,975.0,1571.5,2334.0,3480.0,5533.0,8484.25,0.9021034999817138,0.9538909074404527,0.9765028682339235,0.9573869081847806,0.9821945168781554,0.9904404918997733,0.6991778665487773,0.7201609751495877,0.7423766622429119,16.101935874168177,41.790221216691805,84.8425824175824
8,3000,1168.75,1858.0,2710.25,4698.0,7418.0,11173.5,0.9154470484188492,0.9608072483751295,0.9797193233127777,0.9642175699579303,0.9844547739705418,0.9918179263559119,0.7355584598243079,0.7537210310067329,0.7726358499558024,18.897658079625295,49.898446833930706,100.58958333333334
9,3000,1346.75,2134.0,3112.5,6080.0,9585.0,14216.0,0.9259094471968878,0.9657845331015433,0.9822805108719067,0.9683114791810443,0.9870153287030315,0.9929575231228446,0.7635905753423049,0.780287484394072,0.796081125947907,21.638655462184875,57.878367346938774,115.56223060344828
10,3000,1533.75,2438.5,3487.0,7646.0,11986.0,17618.25,0.934309855174301,0.969782545949258,0.9841616295414048,0.9721644589414784,0.9884639605263636,0.9938785490265463,0.78620054247519,0.802097316732688,0.8158291443225647,24.404761904761905,65.80397022332507,131.36666666666667
11,2363,1664.0,2574.0,3590.0,8969.5,13966.0,19963.0,0.9386962491734838,0.9715433908982296,0.9854566068434998,0.9732485301451628,0.989423076923077,0.9942866743471582,0.8054032702498533,0.8195538680588514,0.8324108010437449,26.680555555555557,71.0,140.52651515151513
12,1936,1784.0,2760.5,3762.0,10499.0,16297.0,23178.5,0.9437669191874122,0.9736837260928382,0.9865508022237667,0.9749911431270666,0.9897552213473434,0.9945728050381749,0.8213392543050702,0.8341692287175819,0.8456323509050656,29.07923076923077,75.32666666666665,149.81026785714283
13,1548,1858.75,2865.5,3883.25,12071.0,18432.5,25732.75,0.9471382051583119,0.9742871226834358,0.9874595315194851,0.9751557929230605,0.9902102767247377,0.9948433416958453,0.8350770437715693,0.8464591617796591,0.8579544723229262,30.60577547047372,77.51410256410256,155.32456140350877
14,1267,1948.0,2985.0,3987.5,13595.0,20703.0,29049.5,0.9492948392520992,0.9755931544146247,0.9879461613574577,0.9769118051818286,0.9905316824471959,0.9951671545547395,0.8464837959830147,0.8577808529374764,0.8677365592578788,32.6312893081761,79.91666666666667,159.65608919382504
15,1013,2003.0,2980.0,4043.0,15079.0,22377.0,32329.0,0.9507674485954243,0.9757608769660244,0.9885576633544113,0.978343949044586,0.99082823790995,0.9952931108258452,0.8577729165196528,0.8678005166911504,0.8768508486818346,33.22627737226277,78.3913043478261,164.76470588235293
16,855,2119.5,3074.0,4660.0,16637.5,24534.0,38722.0,0.9520366337711471,0.9763614874079461,0.9890821511534474,0.9768275768749366,0.9913448735019973,0.995622192899491,0.8666549676102764,0.875927036053781,0.8836418102547647,34.8503893214683,78.91304347826087,175.75
17,712,2168.5,3127.5,4764.5,17954.0,26643.5,41606.25,0.954107575117471,0.9768341274059604,0.9897199947913369,0.9779090415135676,0.9912720621633898,0.9956273797962896,0.8750825200285401,0.883097353846952,0.8903233575447106,35.65726933830382,79.48888888888888,178.3779761904762
18,605,2248.0,3244.0,5315.0,19875.0,29155.0,48825.0,0.9576822916666666,0.9777399644210689,0.9898183442739896,0.9787812840043526,0.9914297658862876,0.9958562367864694,0.8822536709743101,0.8895214759296627,0.8966025442134657,37.63636363636363,81.84848484848484,182.57142857142858
