turn,n,input_tokens_p25,input_tokens_p50,input_tokens_p75,cum_input_tokens_p25,cum_input_tokens_p50,cum_input_tokens_p75,history_share_cum_p25,history_share_cum_p50,history_share_cum_p75,history_share_turn_p25,history_share_turn_p50,history_share_turn_p75,repeat_share_cum_p25,repeat_share_cum_p50,repeat_share_cum_p75,relative_cost_vs_turn1_p25,relative_cost_vs_turn1_p50,relative_cost_vs_turn1_p75
1,134,19.0,37.0,58.75,19.0,37.0,58.75,0.051066627703097604,0.08108108108108109,0.15789473684210525,0.0,0.0,0.0,0.051066627703097604,0.08108108108108109,0.15789473684210525,1.0,1.0,1.0
2,134,125.5,257.5,669.0,166.0,310.5,707.5,0.5356957320971867,0.7241197856869499,0.8841184701492537,0.6828951277480689,0.849002849002849,0.9589064713337807,0.0726204128440367,0.16378539493293592,0.2772599663110612,2.8451436130007557,5.77593085106383,15.857142857142858
3,134,212.0,535.0,1200.25,392.25,862.5,1843.75,0.6945774861181222,0.8389790771181835,0.9416433043528438,0.8142440318302387,0.9354187031606387,0.9778436936136141,0.3613367893781795,0.41342108555841944,0.4742397700220096,4.5938735177865615,11.507440476190476,35.738242894056846
4,134,304.25,748.5,1683.0,720.25,1607.5,3747.0,0.780265919045098,0.8858720400728597,0.9616498609631228,0.8677375312541125,0.9556431632028449,0.9879546333194552,0.51460428076543,0.5507940895815704,0.5827974870657797,6.7558528428093645,16.59722222222222,49.544444444444444
5,134,386.25,960.5,2244.25,1112.5,2580.5,5737.25,0.8279699720904805,0.9113172058454853,0.9684506430995028,0.8991412213740457,0.9674103694279093,0.9906178703954474,0.597645370917377,0.6384322851053914,0.6630833241757489,8.798248626373626,24.76142857142857,65.22083333333333
6,134,478.25,1177.0,2788.0,1667.5,3830.0,8512.75,0.8580281871238438,0.9340267928730646,0.9767471467043658,0.9181539674587074,0.9712672868548617,0.9923833149121981,0.6606857535969216,0.6913977867361778,0.7125323143001754,10.673326673326674,29.55451127819549,81.32321428571429
7,134,586.0,1379.5,3430.0,2231.25,5235.0,11978.0,0.8780846564050221,0.9452788097469027,0.9822703219183047,0.931394339274477,0.9763179361680432,0.9936082450437798,0.708625650427613,0.7291732598324953,0.749898607688354,12.350045787545788,35.92307692307692,89.93541666666667
8,134,673.75,1566.0,4030.0,2887.5,6790.0,15988.25,0.8922160523288135,0.9551454437868516,0.9859555191291604,0.945501071147552,0.981557889472368,0.9945714587685076,0.7422700292589597,0.7634903517129594,0.775755436973991,15.432657657657657,41.60714285714286,106.21190476190476
9,134,773.0,1801.0,4579.0,3672.5,8780.0,21375.25,0.9041382034657555,0.9601109648160222,0.9882432992125888,0.9481290818519124,0.9831778635970722,0.9947285806435209,0.7686950037474821,0.7864545814203359,0.7967259192631007,17.76871101871102,47.845,117.95704225352114
10,134,862.25,2042.0,5108.5,4536.25,10994.5,26884.0,0.9129778246525255,0.9664714314900216,0.9891639077777508,0.9545408112694974,0.9851500900015461,0.9955629342101406,0.7921215256520965,0.807232979909791,0.8158003107412956,21.05816686251469,56.38285714285714,130.99213887979036
